Sat_Num	Year	Month	Day	Hour	Minute	Second	SV_Clock_Bias	SV_Relative_Frequency_Bias	Message_Transmission_Time	Sat_X_Pos	Sat_X_Velocity	Sat_X_Acc	Sat_Health	Sat_Y_Pos	Sat_Y_Velocity	Sat_Y_Acc	URA	Sat_Z_Pos	Sat_Z_Velocity	Sat_Z_Acc	IODN
S23	2021	8	13	11	35	28	0.000000000000e+00	0.000000000000e+00	4.737280000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.300000000000e+01
S36	2021	8	13	11	36	16	0.000000000000e+00	0.000000000000e+00	4.737760000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.000000000000e+00
S23	2021	8	13	11	37	36	0.000000000000e+00	0.000000000000e+00	4.738560000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.400000000000e+01
S36	2021	8	13	11	38	24	0.000000000000e+00	0.000000000000e+00	4.739040000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.000000000000e+00
S23	2021	8	13	11	39	44	0.000000000000e+00	0.000000000000e+00	4.739840000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.500000000000e+01
S36	2021	8	13	11	40	32	0.000000000000e+00	0.000000000000e+00	4.740320000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.000000000000e+00
S23	2021	8	13	11	41	52	0.000000000000e+00	0.000000000000e+00	4.741120000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.600000000000e+01
S36	2021	8	13	11	42	40	0.000000000000e+00	0.000000000000e+00	4.741600000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.000000000000e+00
S23	2021	8	13	11	44	0	0.000000000000e+00	0.000000000000e+00	4.742400000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.700000000000e+01
S36	2021	8	13	11	44	48	0.000000000000e+00	0.000000000000e+00	4.742880000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+01
S23	2021	8	13	11	46	8	0.000000000000e+00	0.000000000000e+00	4.743680000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.800000000000e+01
S36	2021	8	13	11	46	56	0.000000000000e+00	0.000000000000e+00	4.744160000000e+05	4.200368800000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	3.674846960000e+03	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.100000000000e+01
S23	2021	8	13	11	48	16	0.000000000000e+00	0.000000000000e+00	4.744960000000e+05	3.594460000000e+04	0.000000000000e+00	0.000000000000e+00	6.300000000000e+01	2.204414000000e+04	0.000000000000e+00	0.000000000000e+00	3.276700000000e+04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.900000000000e+01
